log,n_traces,n_unique_traces,ratio_unique_traces_per_trace,n_events,trace_len_min,trace_len_max,trace_len_mean,trace_len_median,trace_len_mode,trace_len_std,trace_len_variance,trace_len_q1,trace_len_q3,trace_len_iqr,trace_len_geometric_mean,trace_len_geometric_std,trace_len_harmonic_mean,trace_len_skewness,trace_len_kurtosis,trace_len_coefficient_variation,trace_len_entropy,trace_len_hist1,trace_len_hist2,trace_len_hist3,trace_len_hist4,trace_len_hist5,trace_len_hist6,trace_len_hist7,trace_len_hist8,trace_len_hist9,trace_len_hist10,trace_len_skewness_hist,trace_len_kurtosis_hist,ratio_most_common_variant,ratio_top_1_variants,ratio_top_5_variants,ratio_top_10_variants,ratio_top_20_variants,ratio_top_50_variants,ratio_top_75_variants,mean_variant_occurrence,std_variant_occurrence,skewness_variant_occurrence,kurtosis_variant_occurrence,n_unique_activities,activities_min,activities_max,activities_mean,activities_median,activities_std,activities_variance,activities_q1,activities_q3,activities_iqr,activities_skewness,activities_kurtosis,n_unique_start_activities,start_activities_min,start_activities_max,start_activities_mean,start_activities_median,start_activities_std,start_activities_variance,start_activities_q1,start_activities_q3,start_activities_iqr,start_activities_skewness,start_activities_kurtosis,n_unique_end_activities,end_activities_min,end_activities_max,end_activities_mean,end_activities_median,end_activities_std,end_activities_variance,end_activities_q1,end_activities_q3,end_activities_iqr,end_activities_skewness,end_activities_kurtosis,entropy_trace,entropy_prefix,entropy_global_block,entropy_lempel_ziv,entropy_k_block_diff_1,entropy_k_block_diff_3,entropy_k_block_diff_5,entropy_k_block_ratio_1,entropy_k_block_ratio_3,entropy_k_block_ratio_5,entropy_knn_3,entropy_knn_5,entropy_knn_7
scenario1_1000_all_0.05,1000,487,0.487,10783,7,16,10.783,11,9,1.53620018226792,2.359911,9,13,4,10.676503370621,1.1505724348016,10.5735173705145,0.43128078363506,-0.968253250445617,0.142465008093102,6.8977496663117,0.001111111111111,0.003333333333333,0.283333333333334,0.255555555555555,0.273333333333333,0.005555555555556,0.282222222222222,0.003333333333333,0.001111111111111,0.002222222222222,0.41638512235001,-1.81544668766824,0.046,0.122,0.318,0.426,0.557,0.756,0.878,2.05338809034908,3.39845716584935,7.67088902444402,78.3526685845177,46,1,1000,234.413043478261,1,364.559625712219,132903.720699433,1,259,258,1.46141812662603,0.465727261414167,8,1,990,125,1,326.939979201076,106889.75,1,2.25,1.25,2.26776715052951,3.14280748208312,6,1,993,166.666666666667,1,369.548222683981,136565.888888889,1,2.5,1.5,1.78883867609672,1.19997185912477,8.164,9.144,11.31,1.175,4.01,4.01,4.01,4.01,4.01,4.01,4.27,3.8,3.538
scenario1_1000_all_0.1,1000,510,0.51,10785,7,16,10.785,11,11,1.50425230596466,2.262775,10,12,2,10.6824154954294,1.14778652577972,10.5825121431948,0.400268655476045,-0.844795682131387,0.139476338058847,6.89814475132399,0.003333333333333,0.005555555555556,0.253333333333334,0.273333333333333,0.288888888888889,0.013333333333333,0.266666666666667,0.004444444444444,0,0.002222222222222,0.418186238570474,-1.80654968196302,0.051,0.135,0.308,0.422,0.557,0.745,0.872,1.96078431372549,3.28669799321104,8.76771692063399,106.93395720771,42,1,1003,256.785714285714,59.5,374.290410275884,140093.31122449,1,250,249,1.33006905164663,0.081737466182618,6,1,990,166.666666666667,1,368.210386720539,135578.888888889,1,4.75,3.75,1.78875562665793,1.19982262713228,6,1,995,166.666666666667,1,370.441928272465,137227.222222222,1,1,0,1.78885438199983,1.2,8.247,9.185,11.322,1.225,4.007,4.007,4.007,4.007,4.007,4.007,4.321,3.883,3.614
scenario1_1000_all_0.15,1000,503,0.503,10784,6,16,10.784,10,10,1.55542405793404,2.419344,10,12,2,10.6744722827425,1.15315253347567,10.5676027902155,0.441606659215446,-0.604334893348939,0.144234426737207,6.89749143622494,0.002,0.002,0.006,0.227,0.265,0.23,0.023,0.229,0.008,0.008,0.426202343861062,-1.77242181174257,0.032,0.128,0.301,0.419,0.549,0.748,0.874,1.98807157057654,3.01089091041182,6.28832165112015,49.5147429738835,62,1,1003,173.935483870968,1,330.334916604333,109121.157127992,1,243.75,242.75,1.9247328625414,2.0959682568796,6,1,990,166.666666666667,1.5,368.208576156987,135577.555555556,1,4.25,3.25,1.78879508795448,1.19989364580973,6,1,994,166.666666666667,1,369.994894859675,136896.222222222,1,1.75,0.75,1.78885046341163,1.19999298456982,8.266,9.21,11.346,1.257,4.022,4.022,4.022,4.022,4.022,4.022,4.34,3.89,3.605
scenario1_1000_all_0.2,1000,560,0.56,10865,6,16,10.865,11,13,1.62996165599072,2.656775,9.75,13,3.25,10.7438069913519,1.16178379285319,10.6238965502053,0.277443831924098,-0.82091997706423,0.15001948053297,6.89656726082549,0.002,0.005,0.009,0.234,0.219,0.233,0.014,0.267,0.009,0.008,0.436799368520369,-1.76273877052192,0.048,0.119,0.297,0.407,0.536,0.72,0.86,1.78571428571429,2.86614652772103,9.47015219615943,127.966470540034,61,1,1003,178.114754098361,1,332.789752874667,110749.019618382,1,238,237,1.88002299676695,1.93541814805389,11,1,975,90.9090909090909,1,279.583279037491,78166.8099173554,1,4.5,3.5,2.84570782661955,6.09884255747807,7,1,993,142.857142857143,1,347.069539582664,120457.265306122,1,1.5,0.5,2.04123721777582,2.16665743946512,8.452,9.388,11.482,1.385,4.029,4.029,4.029,4.029,4.029,4.029,4.414,3.985,3.718
scenario1_1000_attribute_0.05,1000,433,0.433,10689,9,13,10.689,11,9,1.47114887078093,2.164279,9,11,2,10.5907649197657,1.14469154323268,10.4961061648109,0.457400514451552,-1.09155368598916,0.137632039552898,6.8984289177593,0.697499999999999,0,0.542500000000002,0,0,0.679999999999999,0,0,0,0.579999999999999,0.462235294541109,-1.71711753896011,0.052,0.135,0.323,0.445,0.582,0.783,0.891,2.3094688221709,3.91259326942938,7.27491960189274,71.7965414502965,22,54,1000,485.863636363636,252,393.971652816723,155213.663223141,220.75,1000,779.25,0.479953416099754,-1.6440007022094,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,7.934,8.918,11.122,1.027,3.978,3.978,3.978,3.978,3.978,3.978,4.131,3.651,3.396
scenario1_1000_attribute_0.1,1000,449,0.449,10816,9,13,10.816,11,13,1.51794071030459,2.304144,10,13,3,10.7119287712817,1.14856520145433,10.6110899493933,0.366003498250086,-1.2884104189252,0.140342151470469,6.89802282385714,0.614999999999999,0,0.615000000000002,0,0,0.577499999999999,0,0,0,0.692499999999999,0.431571373558033,-1.78064319070166,0.046,0.119,0.314,0.432,0.571,0.775,0.887,2.2271714922049,3.54570178257376,6.71738795392963,62.2552012714282,22,53,1000,491.636363636364,277,391.257941592888,153082.776859504,234.75,1000,765.25,0.451432610025719,-1.62876607082892,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,8.037,8.993,11.21,1.054,3.988,3.988,3.988,3.988,3.988,3.988,4.154,3.687,3.411
scenario1_1000_attribute_0.15,1000,435,0.435,10738,9,13,10.738,10,9,1.51504323370655,2.295356,9,13,4,10.6341077588318,1.14880520537405,10.5339492733458,0.422748430490204,-1.22523829994021,0.141091752068034,6.89794411326841,0.684999999999999,0,0.580000000000002,0,0,0.5875,0,0,0,0.647499999999999,0.432849492747097,-1.77904016428889,0.062,0.141,0.315,0.435,0.584,0.782,0.891,2.29885057471264,4.12481958512806,8.89567818572785,108.066098877152,22,54,1000,488.090909090909,259,393.201533925024,154607.446280992,232.75,1000,767.25,0.463976678166817,-1.63452516042466,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,7.928,8.943,11.143,1.029,3.979,3.979,3.979,3.979,3.979,3.979,4.124,3.669,3.402
scenario1_1000_attribute_0.2,1000,426,0.426,10689,9,13,10.689,10,10,1.43536720040553,2.060279,10,11,1,10.5958826504544,1.1404372974699,10.5064569402618,0.51646528844118,-0.996584201117774,0.134284516830903,6.89889656547964,0.612499999999999,0,0.682500000000002,0,0,0.639999999999999,0,0,0,0.565,0.431680930039867,-1.78251957797498,0.042,0.118,0.32,0.437,0.592,0.787,0.893,2.34741784037559,3.7204491877652,5.82043875340663,44.5760305262736,22,54,1000,485.863636363636,256,394.210637679279,155402.026859504,226,1000,774,0.475774034311715,-1.64128628284173,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,7.925,8.916,11.106,1.004,3.976,3.976,3.976,3.976,3.976,3.976,4.111,3.66,3.385
scenario1_1000_early_0.05,1000,467,0.467,10759,9,13,10.759,11,9,1.49897264818275,2.246919,9,13,4,10.6573781238946,1.14694167993973,10.559246232269,0.414931965986552,-1.20589167278282,0.139322673871433,6.8981832953445,0.644999999999999,0,0.602500000000002,0,0,0.6075,0,0,0,0.644999999999999,0.413498077567712,-1.82191460832851,0.044,0.109,0.302,0.426,0.569,0.766,0.883,2.14132762312634,3.29644295247404,6.79439307182874,65.7473407495606,22,48,1000,489.045454545455,258,392.395843420753,153974.497933884,241.5,1000,758.5,0.464739744894004,-1.6337441890874,8,1,979,125,3.5,322.786694273478,104191.25,1,5.25,4.25,2.26764540752518,3.14250059495431,5,1,993,200,2,396.50069356812,157212.8,1,3,2,1.49998688446481,0.249982500612905,8.126,9.163,11.246,1.163,3.983,3.983,3.983,3.983,3.983,3.983,4.269,3.802,3.534
scenario1_1000_early_0.1,1000,530,0.53,10805,9,13,10.805,11,11,1.4707056129627,2.162975,10,13,3,10.7072553005524,1.14371037599194,10.6124636665361,0.385953114746746,-1.17638306260803,0.136113430167765,6.8986040869141,0.579999999999999,0,0.612500000000002,0,0,0.664999999999999,0,0,0,0.642499999999999,0.421426194615592,-1.80486529895902,0.041,0.117,0.293,0.402,0.529,0.735,0.867,1.88679245283019,2.80807714616443,7.61261465270733,81.9694296106428,22,61,1000,491.136363636364,257,390.609348612063,152575.663223141,245,1000,755,0.467940883340373,-1.63601788684102,17,1,957,58.8235294117647,2,224.561857138876,50428.0276816609,1,3,2,3.74899847672058,12.0577949618093,6,1,986,166.666666666667,3,366.419462122609,134263.222222222,2,4.75,2.75,1.78880044081648,1.19990344062145,8.394,9.442,11.438,1.333,3.994,3.994,3.994,3.994,3.994,3.994,4.428,3.961,3.688
